Target Name,A,B,DF,p-value corrected,p-value,correction method,Paired,Parametric,Test,effect size,Bayes factor
GAPDH,IPSC,NPC,5,0.148413538495517,0.034316006671065,fdr_bh,True,True,T-Test,1.552,2.752
GAPDH,IPSC,DA4W,5,0.168175530604966,0.140146275504138,fdr_bh,True,True,T-Test,0.705,1.005
GAPDH,IPSC,DA6W,5,0.148413538495517,0.098942358997012,fdr_bh,True,True,T-Test,0.878,1.28
GAPDH,NPC,DA4W,5,0.148413538495517,0.089116060628344,fdr_bh,True,True,T-Test,-0.975,1.378
GAPDH,NPC,DA6W,5,0.148413538495517,0.087226447739137,fdr_bh,True,True,T-Test,-0.782,1.4
GAPDH,DA4W,DA6W,5,0.264519874701218,0.264519874701218,fdr_bh,True,True,T-Test,0.201,0.661
ACTB,IPSC,NPC,5,0.104655281110035,0.017442546851673,fdr_bh,True,True,T-Test,-1.741,4.546
ACTB,IPSC,DA4W,5,0.168175530604966,0.140146275504139,fdr_bh,True,True,T-Test,-0.705,1.005
ACTB,IPSC,DA6W,5,0.148413538495517,0.098942358997012,fdr_bh,True,True,T-Test,-0.878,1.28
ACTB,NPC,DA4W,5,0.125979788407703,0.055246020222312,fdr_bh,True,True,T-Test,1.031,1.943
ACTB,NPC,DA6W,5,0.125979788407703,0.062989894203852,fdr_bh,True,True,T-Test,0.801,1.767
ACTB,DA4W,DA6W,5,0.264519874701218,0.264519874701218,fdr_bh,True,True,T-Test,-0.201,0.661
KCNJ6,IPSC,NPC,5,0.856665941141918,0.737170628954261,fdr_bh,True,True,T-Test,-0.234,0.393
KCNJ6,IPSC,DA4W,5,0.008448309427094,0.002816103142365,fdr_bh,True,True,T-Test,-3.666,18.055
KCNJ6,IPSC,DA6W,5,0.008448309427094,0.002527307791515,fdr_bh,True,True,T-Test,-3.676,19.613
KCNJ6,NPC,DA4W,5,0.011567712353491,0.007045835429276,fdr_bh,True,True,T-Test,-3.039,8.988
KCNJ6,NPC,DA6W,5,0.011567712353491,0.00771180823566,fdr_bh,True,True,T-Test,-3.05,8.394
KCNJ6,DA4W,DA6W,5,0.856665941141918,0.856665941141918,fdr_bh,True,True,T-Test,-0.015,0.379
SYP,IPSC,NPC,5,0.185431900536138,0.171003164060911,fdr_bh,True,True,T-Test,-1.064,0.878
SYP,IPSC,DA4W,5,0.000100805259497,1.68008765829045E-05,fdr_bh,True,True,T-Test,-11.357,982.674
SYP,IPSC,DA6W,5,0.000175373857296,8.57395934006922E-05,fdr_bh,True,True,T-Test,-8.189,271.523
SYP,NPC,DA4W,5,0.000175373857296,0.000116915904864,fdr_bh,True,True,T-Test,-5.59,212.827
SYP,NPC,DA6W,5,0.000175373857296,0.000109017970623,fdr_bh,True,True,T-Test,-4.83,224.836
SYP,DA4W,DA6W,5,0.185431900536138,0.185431900536138,fdr_bh,True,True,T-Test,-0.474,0.832
GRIA1,IPSC,NPC,5,0.067785887138952,0.05648823928246,fdr_bh,True,True,T-Test,-1.785,1.912
GRIA1,IPSC,DA4W,5,0.035746510695187,0.011915503565062,fdr_bh,True,True,T-Test,-2.852,6.048
GRIA1,IPSC,DA6W,5,0.035746510695187,0.011370100266395,fdr_bh,True,True,T-Test,-2.882,6.264
GRIA1,NPC,DA4W,5,0.067785887138952,0.034491718112731,fdr_bh,True,True,T-Test,-0.998,2.741
GRIA1,NPC,DA6W,5,0.067785887138952,0.051895762660056,fdr_bh,True,True,T-Test,-0.954,2.033
GRIA1,DA4W,DA6W,5,0.351737701967887,0.351737701967887,fdr_bh,True,True,T-Test,0.065,0.557
