,,,NormQuant,NormQuant,NormQuant,NormSEM,,,,
,,,size,mean,std,mean,,,,
Target Name,Sample Name,Treatment,,,,,,,,
B2M,B4bisGP,Control,2,1,0.015685964789894,0.011091652072388,,,,
B2M,R6 GP,Control,2,1,0.110877243621219,0.078402050843837,,,,
B2M,V3 GP,Control,2,1,0.021592286051615,0.015268051888417,,,,
B2M,V4 GP,Control,2,1,0.035719827090867,0.025257731958763,,,,
B2M,R5bis GP,Cocaine,2,1,0.089318751307775,0.063157894736842,,,,
B2M,R6bisGP,Cocaine,2,1,0.551229117289746,0.389777846823054,,,,
B2M,R8bisGP,Cocaine,3,1,0.150303412098024,0.086777715434913,,,,
B2M,V2GP,Cocaine,2,1,0.164511301684361,0.116327057002837,,,,
B2M,V8GP,Cocaine,2,1,0.236400347886321,0.167160289065277,,,,
NRXN3,B4bisGP,Control,2,0.254115586690017,0.030298679357322,0.021424401634559,,,,
NRXN3,R6 GP,Control,3,0.710674357331055,0.060821554368158,0.035115340786987,,GP,control,0.450409272037543
NRXN3,V3 GP,Control,3,0.53774920598477,0.21908545376893,0.126489045709023,,,cocaine,0.798733707565555
NRXN3,V4 GP,Control,2,0.29909793814433,0.052668520557452,0.037242268041237,,,,
NRXN3,R5bis GP,Cocaine,3,0.447017543859649,0.098071366737261,0.056621529985552,,fold change,,1.77335094358133
NRXN3,R6bisGP,Cocaine,2,0.949976697219202,0.053387276006938,0.037750504893584,,,,
NRXN3,R8bisGP,Cocaine,3,0.868304178373969,0.25734442372431,0.148577872311679,,,,
NRXN3,V2GP,Cocaine,2,0.779726592726335,0.100311769319732,0.070931132318803,,,,
NRXN3,V8GP,Cocaine,2,0.94864352564862,0.044817216909703,0.031690557990759,,,,
